Max iterations: 100
Function: 6 | Xmin: [-4.376101232724663, -0.9865825687239358, 4.180693106337186, 1.276270710198133]                                                    | F(X)=  0.037398 | f_count = 100000
Function: 6 | Xmin: [1.7397173594080755, -0.9123568116935772, -1.8057593373104766, 1.651502443076346]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-0.6259002751710696, -5.820474626904161, -1.922668187620527, 1.074036980425853]                                                   | F(X)=  0.037696 | f_count = 100000
Function: 6 | Xmin: [0.8229498018979129, -2.8713001591206364, 0.5534413115698342, -0.7880929890122346]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [3.6563714063244, 1.9078725367622331, -1.6802619033593031, -4.577702326931586]                                                     | F(X)=  0.048244 | f_count = 100000
Function: 6 | Xmin: [-1.128745617268379, -2.28431333747546, -1.8056639698333612, -0.31049266361840466]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.7128966279957076, -4.301465541922788, -3.796014288097768, -1.0062158664577083]                                                 | F(X)=  0.076115 | f_count = 100000
Function: 6 | Xmin: [-0.15857227257360051, -0.12767320998821674, -0.9698634003941535, -2.9783024684440917]                                             | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [4.963820022121222, -3.6474678197402435, -1.1313474259905971, 0.49106840092097714]                                                 | F(X)=  0.037247 | f_count = 100000
Function: 6 | Xmin: [1.2728935589282813, -2.407623485385649, 1.5594728276600023, 0.03473760353928412]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [6.092717141914164, -0.30845051842232785, -1.3768409799118508, 0.25270113609430567]                                                | F(X)=  0.037527 | f_count = 100000
Function: 6 | Xmin: [-1.2579685487597274, -0.004267694600912364, 2.8200401401711233, -0.5605461886149357]                                              | F(X)=  0.009716 | f_count = 100000
Population: 100
Function: 6 | Xmin: [-2.523967478736248, -3.173077839326746, -1.2112442454867418, -4.56051212518882]                                                   | F(X)=  0.040116 | f_count = 100000
Function: 6 | Xmin: [-0.07131103101302472, 1.9984493248221042, 2.138067311319027, -1.1315112741047244]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [4.55601604957361, -0.17769913314580155, -3.9506236320048824, 0.3448031090419228]                                                  | F(X)=  0.087375 | f_count = 100000
Function: 6 | Xmin: [0.8920912228065561, 1.780916109521911, 2.4211179833974796, -0.14150149416995106]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [2.976647205381931, 2.9764080334473313, -1.5163448347397726, 4.4194521032307605]                                                   | F(X)=  0.037352 | f_count = 100000
Function: 6 | Xmin: [1.2528663887340556, 2.580477037657282, 1.2718445166800123, -0.05042555352476086]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-0.38518043200200014, -5.83482401538856, 0.9491764739460766, 1.9566930027674263]                                                  | F(X)=  0.038584 | f_count = 100000
Function: 6 | Xmin: [0.31149402212810884, -0.9995226857770376, 2.2142659255342068, 1.9615421111784457]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [1.6864260640208997, -3.1038459983163698, 1.5719500506947761, -4.81360682012474]                                                   | F(X)=  0.047040 | f_count = 100000
Function: 6 | Xmin: [-1.1048083805124165, -1.4107472470985627, 0.3553630616011887, -2.551533008352763]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [2.0960960776601505, 7.276230036743762, 1.3343980369185635, -5.371999882966589]                                                    | F(X)=  0.079319 | f_count = 100000
Function: 6 | Xmin: [0.8574728286136803, 2.41253491045709, 1.4597184465973143, -1.0791545291683775]                                                    | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-5.6100243089094946, -0.21521912644628216, 0.5605080794387458, -2.6088685940535603]                                               | F(X)=  0.040684 | f_count = 100000
Function: 6 | Xmin: [-0.26938928098167736, -1.777816666515669, 0.9115461881381037, 2.406431391921707]                                                  | F(X)=  0.009717 | f_count = 100000
Function: 6 | Xmin: [-0.757191232828343, 0.7136634891245386, 1.382509596659606, 2.552227386318471]                                                     | F(X)=  0.012684 | f_count = 100000
Function: 6 | Xmin: [1.407266334183852, 1.2045150778365539, 2.3514997251032455, -0.9428744043704995]                                                   | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [1.7583923464136024, -3.2582624782081426, 4.81173495711649, 1.4112080735552033]                                                    | F(X)=  0.039015 | f_count = 100000
Function: 6 | Xmin: [1.4996774195086573, -0.7397416781147328, -0.6499055146720494, 2.575231826415937]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-2.216564345352541, -3.510418627421144, 3.4204333036660195, -3.3257356370699807]                                                  | F(X)=  0.039276 | f_count = 100000
Function: 6 | Xmin: [2.07913021046172, -0.20740042085667199, 1.0682349530386688, 2.0853290964742186]                                                   | F(X)=  0.009717 | f_count = 100000
Population: 200
Function: 6 | Xmin: [-0.8519023351363237, -0.17862911442645313, 1.5728020968968046, -2.7230343425122676]                                               | F(X)=  0.024806 | f_count = 100000
Function: 6 | Xmin: [3.1180635061566875, 0.20611295991561462, 0.29213442427369074, -0.07045272371898648]                                               | F(X)=  0.009717 | f_count = 100000
Function: 6 | Xmin: [1.3844212709611838, 6.880085204026912, 0.6460651197162097, -6.046563506620781]                                                    | F(X)=  0.092443 | f_count = 100000
Function: 6 | Xmin: [0.4031421676359912, -0.7862810069470427, -0.6878617705639698, -2.932335344474481]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-4.173527891538821, 3.004873177023938, 2.8049590279753067, 2.3051180890818106]                                                    | F(X)=  0.037524 | f_count = 100000
Function: 6 | Xmin: [2.8275741708632367, -1.3129955830552973, -0.18079289474147942, 0.3137828415788775]                                                | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [4.885001770698549, -3.2301097968685375, 1.076475467962442, -1.6551966563642853]                                                   | F(X)=  0.045912 | f_count = 100000
Function: 6 | Xmin: [0.8197073076759906, 0.2976657379463816, 1.5732057443646141, 2.571798597239784]                                                    | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.4887828608870812, -2.7418410715579604, 5.370116568777517, 1.3473632537281368]                                                   | F(X)=  0.043083 | f_count = 100000
Function: 6 | Xmin: [0.4806759265308074, -2.5067102941085295, -0.883746568558962, -1.5979536046760572]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-5.245534219463911, -3.450595612792814, 0.36613134063587616, 1.132461277561874]                                                   | F(X)=  0.049060 | f_count = 100000
Function: 6 | Xmin: [2.5647414039332475, -1.4664418537339472, 0.2198458766202407, -1.0349040197868433]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [5.143048462367831, -2.5983421147752477, -0.0847359838566426, -2.1690465305630866]                                                 | F(X)=  0.050459 | f_count = 100000
Function: 6 | Xmin: [-1.3570553574826079, -2.464462501746418, 1.3883835737150036, 0.09882454816081321]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [2.882549360572394, -1.5977196623321697, -4.194670861506012, -3.331896823974258]                                                   | F(X)=  0.037367 | f_count = 100000
Function: 6 | Xmin: [0.048184417812549896, 1.2578254975440544, 0.028729452481016438, -2.8744472858654433]                                              | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [4.381117066510081, 4.535452558396965, -0.11414288561289965, 0.688340285131126]                                                    | F(X)=  0.041403 | f_count = 100000
Function: 6 | Xmin: [1.4873750149607687, 0.49679303016330323, 1.6473062740832702, 2.162958222846136]                                                   | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.106640771047422, 2.3245639956916233, -0.5967745788019654, -5.777108295436438]                                                  | F(X)=  0.042525 | f_count = 100000
Function: 6 | Xmin: [1.1338477772940507, -0.5634072129283965, 2.8434051720643865, 0.3996135709827229]                                                  | F(X)=  0.009716 | f_count = 100000
Best population size: 50
Mutation probability: 0.100000
